"Name","DisplayName","Enabled","Action","Direction","Profile","Program"
"RemoteAssistance-SSDPSrv-In-UDP-Active","Remote Assistance (SSDP UDP-In)","True","Allow","Inbound","Domain, Private",
"NETDIS-WSDEVNTS-Out-TCP-NoScope","Network Discovery (WSD EventsSecure-Out)","False","Allow","Outbound","Domain",
"NETDIS-LLMNR-Out-UDP-Active","Network Discovery (LLMNR-UDP-Out)","True","Allow","Outbound","Private",
"NETDIS-UPnPHost-In-TCP-Teredo","Network Discovery for Teredo (UPnP-In)","True","Allow","Inbound","Public",
"NETDIS-FDRESPUB-WSD-Out-UDP","Network Discovery (Pub WSD-Out)","False","Allow","Outbound","Domain",
"CoreNet-ICMP6-TE-Out","Core Networking - Time Exceeded (ICMPv6-Out)","True","Allow","Outbound","Any",
"Netlogon-NamedPipe-In","Netlogon Service (NP-In)","False","Allow","Inbound","Any",
"NETDIS-SSDPSrv-In-UDP-Active","Network Discovery (SSDP-In)","True","Allow","Inbound","Private",
"vm-monitoring-icmpv4","Virtual Machine Monitoring (Echo Request - ICMPv4-In)","False","Allow","Inbound","Any",
"CDPSvc-In-UDP","Connected Devices Platform (UDP-In)","True","Allow","Inbound","Domain, Private",
"CDPSvc-In-TCP","Connected Devices Platform (TCP-In)","True","Allow","Inbound","Domain, Private",
"RemoteTask-RPCSS-In-TCP","Remote Scheduled Tasks Management (RPC-EPMAP)","False","Allow","Inbound","Private, Public",
"MDNS-In-UDP-Private-Active","mDNS (UDP-In)","True","Allow","Inbound","Private",
"AllJoyn-Router-Out-TCP","AllJoyn Router (TCP-Out)","True","Allow","Outbound","Domain, Private",
"RemoteAssistance-In-TCP-EdgeScope","Remote Assistance (TCP-In)","False","Allow","Inbound","Public",
"ProximityUxHost-Sharing-Out-TCP-NoScope","Proximity sharing over TCP (TCP sharing-Out)","True","Allow","Outbound","Any",
"NETDIS-LLMNR-In-UDP-Active","Network Discovery (LLMNR-UDP-In)","True","Allow","Inbound","Private",
"vm-monitoring-icmpv6","Virtual Machine Monitoring (Echo Request - ICMPv6-In)","False","Allow","Inbound","Any",
"CoreNet-ICMP6-LR-Out","Core Networking - Multicast Listener Report (ICMPv6-Out)","True","Allow","Outbound","Any",
"TPMVSCMGR-Server-Out-TCP-NoScope","TPM Virtual Smart Card Management (TCP-Out)","False","Allow","Outbound","Domain",
"WFDPRINT-DAFWSD-Out-Active","Wi-Fi Direct Network Discovery (Out)","True","Allow","Outbound","Public",
"RRAS-L2TP-In-UDP","Routing and Remote Access (L2TP-In)","False","Allow","Inbound","Any",
"CoreNet-ICMP6-PTB-In","Core Networking - Packet Too Big (ICMPv6-In)","True","Allow","Inbound","Any",
"CoreNet-DHCP-Out","Core Networking - Dynamic Host Configuration Protocol (DHCP-Out)","True","Allow","Outbound","Any",
"CoreNet-IPHTTPS-In","Core Networking - IPHTTPS (TCP-In)","True","Allow","Inbound","Any",
"NETDIS-WSDEVNT-Out-TCP","Network Discovery (WSD Events-Out)","True","Allow","Outbound","Public",
"RemoteFwAdmin-In-TCP","Windows Defender Firewall Remote Management (RPC)","False","Allow","Inbound","Private, Public",
"AllJoyn-Router-In-TCP","AllJoyn Router (TCP-In)","True","Allow","Inbound","Domain, Private",
"AllJoyn-Router-In-UDP","AllJoyn Router (UDP-In)","True","Allow","Inbound","Domain, Private",
"RemoteAssistance-PnrpSvc-UDP-OUT-Active","Remote Assistance (PNRP-Out)","True","Allow","Outbound","Domain, Private",
"CoreNet-ICMP6-LD-In","Core Networking - Multicast Listener Done (ICMPv6-In)","True","Allow","Inbound","Any",
"Microsoft-Windows-Unified-Telemetry-Client","Connected User Experiences and Telemetry","True","Allow","Outbound","Any",
"NETDIS-WSDEVNTS-In-TCP","Network Discovery (WSD EventsSecure-In)","True","Allow","Inbound","Public",
"CoreNet-ICMP6-DU-In","Core Networking - Destination Unreachable (ICMPv6-In)","True","Allow","Inbound","Any",
"WFDPRINT-SCAN-Out-Active","Wi-Fi Direct Scan Service Use (Out)","True","Allow","Outbound","Public",
"NETDIS-NB_Datagram-In-UDP-Active","Network Discovery (NB-Datagram-In)","True","Allow","Inbound","Private",
"CDPSvc-WFD-In-TCP","Connected Devices Platform - Wi-Fi Direct Transport (TCP-In)","True","Allow","Inbound","Public",
"RemoteTask-In-TCP","Remote Scheduled Tasks Management (RPC)","False","Allow","Inbound","Private, Public",
"NETDIS-SSDPSrv-Out-UDP","Network Discovery (SSDP-Out)","False","Allow","Outbound","Domain",
"CoreNet-Diag-ICMP4-EchoRequest-Out","Core Networking Diagnostics - ICMP Echo Request (ICMPv4-Out)","False","Allow","Outbound","Private, Public",
"MDNS-Out-UDP-Private-Active","mDNS (UDP-Out)","True","Allow","Outbound","Private",
"NETDIS-NB_Datagram-Out-UDP-NoScope","Network Discovery (NB-Datagram-Out)","False","Allow","Outbound","Domain",
"PerfLogsAlerts-DCOM-In-TCP-NoScope","Performance Logs and Alerts (DCOM-In)","False","Allow","Inbound","Domain",
"RRAS-PPTP-Out-TCP","Routing and Remote Access (PPTP-Out)","False","Allow","Outbound","Any",
"PerfLogsAlerts-PLASrv-In-TCP-NoScope","Performance Logs and Alerts (TCP-In)","False","Allow","Inbound","Domain",
"WINRM-HTTP-In-TCP-NoScope","Windows Remote Management (HTTP-In)","False","Allow","Inbound","Domain, Private",
"NETDIS-FDPHOST-Out-UDP","Network Discovery (WSD-Out)","False","Allow","Outbound","Domain",
"NETDIS-WSDEVNT-In-TCP","Network Discovery (WSD Events-In)","True","Allow","Inbound","Public",
"CoreNet-ICMP6-NDS-Out","Core Networking - Neighbor Discovery Solicitation (ICMPv6-Out)","True","Allow","Outbound","Any",
"WFDPRINT-DAFWSD-In-Active","Wi-Fi Direct Network Discovery (In)","True","Allow","Inbound","Public",
"Collab-PNRP-Out-UDP","Windows Peer to Peer Collaboration Foundation (PNRP-Out)","False","Allow","Outbound","Any",
"WirelessDisplay-In-TCP","Wireless Display (TCP-In)","True","Allow","Inbound","Any",
"PNRPMNRS-SSDPSrv-In-UDP","Windows Collaboration Computer Name Registration Service (SSDP-In)","False","Allow","Inbound","Any",
"NETDIS-UPnPHost-In-TCP-NoScope","Network Discovery (UPnP-In)","False","Allow","Inbound","Domain",
"PerfLogsAlerts-DCOM-In-TCP","Performance Logs and Alerts (DCOM-In)","False","Allow","Inbound","Private, Public",
"CoreNet-IPv6-Out","Core Networking - IPv6 (IPv6-Out)","True","Allow","Outbound","Any",
"NETDIS-WSDEVNTS-Out-TCP-Active","Network Discovery (WSD EventsSecure-Out)","True","Allow","Outbound","Private",
"RemoteEventLogSvc-RPCSS-In-TCP","Remote Event Log Management (RPC-EPMAP)","False","Allow","Inbound","Private, Public",
"CoreNet-Diag-ICMP6-EchoRequest-Out-NoScope","Core Networking Diagnostics - ICMP Echo Request (ICMPv6-Out)","False","Allow","Outbound","Domain",
"WMI-RPCSS-In-TCP-NoScope","Windows Management Instrumentation (DCOM-In)","False","Allow","Inbound","Domain",
"RemoteAssistance-SSDPSrv-In-TCP-Active","Remote Assistance (SSDP TCP-In)","True","Allow","Inbound","Domain, Private",
"MSDTC-KTMRM-In-TCP-NoScope","Distributed Transaction Coordinator (RPC)","False","Allow","Inbound","Domain",
"ProximityUxHost-Sharing-In-TCP-NoScope","Proximity sharing over TCP (TCP sharing-In)","True","Allow","Inbound","Any",
"MsiScsi-Out-TCP-NoScope","iSCSI Service (TCP-Out)","False","Allow","Outbound","Domain",
"NETDIS-FDRESPUB-WSD-In-UDP","Network Discovery (Pub-WSD-In)","False","Allow","Inbound","Domain",
"CoreNet-IGMP-In","Core Networking - Internet Group Management Protocol (IGMP-In)","True","Allow","Inbound","Any",
"CoreNet-GP-NP-Out-TCP","Core Networking - Group Policy (NP-Out)","True","Allow","Outbound","Domain",
"WMI-WINMGMT-In-TCP-NoScope","Windows Management Instrumentation (WMI-In)","False","Allow","Inbound","Domain",
"CoreNet-ICMP6-LR2-In","Core Networking - Multicast Listener Report v2 (ICMPv6-In)","True","Allow","Inbound","Any",
"RVM-VDSLDR-In-TCP-NoScope","Remote Volume Management - Virtual Disk Service Loader (RPC)","False","Allow","Inbound","Domain",
"NETDIS-FDPHOST-Out-UDP-Active","Network Discovery (WSD-Out)","True","Allow","Outbound","Private",
"NETDIS-FDPHOST-In-UDP","Network Discovery (WSD-In)","False","Allow","Inbound","Domain",
"RemoteEventLogSvc-In-TCP-NoScope","Remote Event Log Management (RPC)","False","Allow","Inbound","Domain",
"CoreNet-ICMP6-LQ-In","Core Networking - Multicast Listener Query (ICMPv6-In)","True","Allow","Inbound","Any",
