"TimeCreated","Id","LevelDisplayName","Message"
"31-10-2025 02:07:47 PM","114","Information","Removed URL (http://*:5357/e83b8844-a8b9-41da-96ca-3910ba533a92/) from URL group (0xFE00000020000001). Process Id 0xEAC Executable path \Device\HarddiskVolume3\Windows\System32\spoolsv.exe, User S-1-5-18"
"31-10-2025 02:07:26 PM","113","Information","Attempted to add URL (http://*:5357/e83b8844-a8b9-41da-96ca-3910ba533a92/) to URL group (0xFE00000020000001). Status: 0x0. Process Id 0xEAC Executable path \Device\HarddiskVolume3\Windows\System32\spoolsv.exe, User S-1-5-18"
"31-10-2025 02:07:26 PM","111","Information","Create URL group 0xFE00000020000001. Status 0x0. Process Id 0xEAC Executable path \Device\HarddiskVolume3\Windows\System32\spoolsv.exe, User S-1-5-18"
"31-10-2025 02:07:26 PM","114","Information","Removed URL (http://*:5357/e83b8844-a8b9-41da-96ca-3910ba533a92/) from URL group (0xFE00000120000001). Process Id 0xEAC Executable path \Device\HarddiskVolume3\Windows\System32\spoolsv.exe, User S-1-5-18"
"31-10-2025 02:07:20 PM","10016","Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C4E82530-3B6E-4F6A-8E99-07426B47D292}
 and APPID 
{F9717507-6651-4EDB-BFF7-AE615179BCCF}
 to the user DESKOFSKYCRAWLE\Dell SID (S-1-5-21-934178094-3016876827-2453503908-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (S-1-15-2-2583036121-3771128291-2724221042-2764342152-1226818000-4075086513-2031325582). This security permission can be modified using the Component Services administrative tool."
"31-10-2025 02:07:20 PM","10016","Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C4E82530-3B6E-4F6A-8E99-07426B47D292}
 and APPID 
{F9717507-6651-4EDB-BFF7-AE615179BCCF}
 to the user DESKOFSKYCRAWLE\Dell SID (S-1-5-21-934178094-3016876827-2453503908-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (S-1-15-2-2583036121-3771128291-2724221042-2764342152-1226818000-4075086513-2031325582). This security permission can be modified using the Component Services administrative tool."
"31-10-2025 02:07:20 PM","10016","Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C4E82530-3B6E-4F6A-8E99-07426B47D292}
 and APPID 
{F9717507-6651-4EDB-BFF7-AE615179BCCF}
 to the user DESKOFSKYCRAWLE\Dell SID (S-1-5-21-934178094-3016876827-2453503908-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (S-1-15-2-2583036121-3771128291-2724221042-2764342152-1226818000-4075086513-2031325582). This security permission can be modified using the Component Services administrative tool."
"31-10-2025 02:07:20 PM","10016","Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C4E82530-3B6E-4F6A-8E99-07426B47D292}
 and APPID 
{F9717507-6651-4EDB-BFF7-AE615179BCCF}
 to the user DESKOFSKYCRAWLE\Dell SID (S-1-5-21-934178094-3016876827-2453503908-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (S-1-15-2-2583036121-3771128291-2724221042-2764342152-1226818000-4075086513-2031325582). This security permission can be modified using the Component Services administrative tool."
"31-10-2025 02:07:20 PM","10016","Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C4E82530-3B6E-4F6A-8E99-07426B47D292}
 and APPID 
{F9717507-6651-4EDB-BFF7-AE615179BCCF}
 to the user DESKOFSKYCRAWLE\Dell SID (S-1-5-21-934178094-3016876827-2453503908-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (S-1-15-2-2583036121-3771128291-2724221042-2764342152-1226818000-4075086513-2031325582). This security permission can be modified using the Component Services administrative tool."
"31-10-2025 02:07:20 PM","10016","Warning","The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C4E82530-3B6E-4F6A-8E99-07426B47D292}
 and APPID 
{F9717507-6651-4EDB-BFF7-AE615179BCCF}
 to the user DESKOFSKYCRAWLE\Dell SID (S-1-5-21-934178094-3016876827-2453503908-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (S-1-15-2-2583036121-3771128291-2724221042-2764342152-1226818000-4075086513-2031325582). This security permission can be modified using the Component Services administrative tool."
